user_id,item_id,event_type,timestamp
user_70,item_9,purchase,2025-12-28 17:53:45.255030
user_74,item_37,click,2026-01-19 17:53:45.255043
user_61,item_27,view,2026-01-23 17:53:45.255050
user_13,item_43,click,2026-01-15 17:53:45.255057
user_55,item_27,click,2025-12-30 17:53:45.255063
user_94,item_4,purchase,2026-01-06 17:53:45.255069
user_83,item_7,view,2026-01-14 17:53:45.255076
user_94,item_22,view,2026-01-19 17:53:45.255082
user_25,item_13,purchase,2026-01-12 17:53:45.255093
user_18,item_28,view,2026-01-18 17:53:45.255100
user_60,item_16,view,2026-01-12 17:53:45.255106
user_71,item_7,view,2026-01-06 17:53:45.255112
user_70,item_1,view,2025-12-28 17:53:45.255119
user_97,item_16,view,2026-01-13 17:53:45.255125
user_63,item_31,view,2025-12-30 17:53:45.255131
user_52,item_4,view,2026-01-14 17:53:45.255138
user_1,item_25,click,2025-12-28 17:53:45.255144
user_59,item_19,click,2026-01-04 17:53:45.255150
user_94,item_36,purchase,2026-01-04 17:53:45.255157
user_63,item_10,view,2026-01-17 17:53:45.255163
user_28,item_4,purchase,2026-01-03 17:53:45.255169
user_70,item_4,purchase,2026-01-16 17:53:45.255175
user_8,item_4,purchase,2026-01-11 17:53:45.255181
user_65,item_34,view,2026-01-25 17:53:45.255188
user_66,item_6,view,2026-01-24 17:53:45.255194
user_77,item_5,purchase,2025-12-30 17:53:45.255200
user_31,item_26,view,2025-12-27 17:53:45.255206
user_73,item_16,purchase,2026-01-07 17:53:45.255212
user_6,item_40,view,2026-01-13 17:53:45.255218
user_85,item_38,purchase,2026-01-10 17:53:45.255224
user_41,item_17,view,2026-01-05 17:53:45.255231
user_92,item_21,view,2026-01-18 17:53:45.255237
user_51,item_9,purchase,2026-01-06 17:53:45.255243
user_39,item_30,click,2025-12-28 17:53:45.255249
user_97,item_5,view,2026-01-12 17:53:45.255255
user_80,item_37,view,2026-01-24 17:53:45.255261
user_69,item_14,purchase,2026-01-18 17:53:45.255267
user_17,item_23,view,2025-12-29 17:53:45.255273
user_32,item_24,click,2026-01-21 17:53:45.255279
user_57,item_35,purchase,2026-01-17 17:53:45.255285
user_79,item_42,purchase,2026-01-26 17:53:45.255292
user_86,item_36,click,2025-12-28 17:53:45.255298
user_85,item_7,view,2026-01-18 17:53:45.255304
user_15,item_7,purchase,2026-01-09 17:53:45.255310
user_20,item_18,click,2026-01-07 17:53:45.255316
user_27,item_46,click,2026-01-20 17:53:45.255322
user_88,item_41,click,2026-01-10 17:53:45.255328
user_63,item_17,view,2026-01-24 17:53:45.255334
user_82,item_28,click,2026-01-25 17:53:45.255340
user_1,item_22,view,2026-01-06 17:53:45.255347
user_34,item_11,purchase,2026-01-12 17:53:45.255353
user_71,item_46,click,2026-01-09 17:53:45.255359
user_2,item_8,view,2025-12-27 17:53:45.255365
user_89,item_10,purchase,2026-01-25 17:53:45.255371
user_48,item_38,purchase,2026-01-22 17:53:45.255377
user_56,item_9,view,2026-01-17 17:53:45.255383
user_47,item_3,click,2026-01-20 17:53:45.255390
user_88,item_16,purchase,2026-01-23 17:53:45.255396
user_46,item_50,purchase,2025-12-29 17:53:45.255402
user_53,item_40,purchase,2026-01-22 17:53:45.255408
user_31,item_11,view,2025-12-29 17:53:45.255415
user_53,item_2,view,2026-01-03 17:53:45.255421
user_43,item_27,purchase,2025-12-30 17:53:45.255427
user_95,item_16,click,2026-01-21 17:53:45.255433
user_90,item_7,click,2025-12-30 17:53:45.255439
user_5,item_31,view,2026-01-20 17:53:45.255445
user_59,item_23,click,2025-12-31 17:53:45.255451
user_30,item_15,view,2026-01-05 17:53:45.255458
user_25,item_26,click,2026-01-18 17:53:45.255464
user_9,item_50,click,2026-01-15 17:53:45.255470
user_83,item_33,click,2026-01-05 17:53:45.255478
user_69,item_22,view,2026-01-23 17:53:45.255484
user_34,item_12,purchase,2025-12-27 17:53:45.255490
user_34,item_3,view,2026-01-07 17:53:45.255496
user_56,item_23,purchase,2026-01-01 17:53:45.255503
user_41,item_28,purchase,2026-01-10 17:53:45.255509
