item_id,popularity_score
item_1,0.44
item_2,0.09
item_3,0.02
item_4,0.09
item_5,0.5
item_6,0.72
item_7,0.8
item_8,0.98
item_9,0.36
item_10,0.4
item_11,0.11
item_12,0.62
item_13,0.69
item_14,0.79
item_15,0.31
item_16,0.14
item_17,0.47
item_18,0.06
item_19,0.42
item_20,0.22
item_21,0.39
item_22,0.56
item_23,0.03
item_24,0.67
item_25,0.29
item_26,0.22
item_27,0.11
item_28,0.69
item_29,0.07
item_30,0.72
item_31,0.07
item_32,0.18
item_33,0.26
item_34,0.74
item_35,0.57
item_36,0.22
item_37,0.4
item_38,0.79
item_39,0.98
item_40,0.88
item_41,0.93
item_42,0.35
item_43,0.01
item_44,0.16
item_45,0.3
item_46,0.3
item_47,0.67
item_48,0.66
item_49,0.9
item_50,0.1
