item_id,category,price
item_1,Books,3173
item_2,Clothing,2719
item_3,Home,2161
item_4,Home,674
item_5,Home,2173
item_6,Clothing,4847
item_7,Books,845
item_8,Clothing,901
item_9,Clothing,4181
item_10,Books,766
item_11,Home,4563
item_12,Home,1230
item_13,Books,1251
item_14,Clothing,4093
item_15,Clothing,4703
item_16,Home,1552
item_17,Electronics,2371
item_18,Electronics,4522
item_19,Electronics,3666
item_20,Clothing,1935
item_21,Clothing,4617
item_22,Home,1847
item_23,Electronics,2753
item_24,Home,3468
item_25,Home,3259
item_26,Home,3788
item_27,Books,4439
item_28,Electronics,3898
item_29,Electronics,1191
item_30,Books,2230
item_31,Books,2040
item_32,Electronics,724
item_33,Books,2969
item_34,Home,372
item_35,Clothing,4737
item_36,Home,2085
item_37,Electronics,2004
item_38,Books,258
item_39,Clothing,781
item_40,Electronics,682
item_41,Books,2075
item_42,Clothing,752
item_43,Clothing,457
item_44,Books,2906
item_45,Clothing,780
item_46,Electronics,4411
item_47,Books,2149
item_48,Home,2481
item_49,Electronics,4176
item_50,Electronics,1955
