user_id,age,city
user_1,58,Lake Judithton
user_2,25,Sarahberg
user_3,19,East Beth
user_4,35,Port Jacob
user_5,33,South Jeffreychester
user_6,32,Warechester
user_7,26,Kaylachester
user_8,24,Brooksfort
user_9,52,Melvinburgh
user_10,23,Port Austinside
user_11,55,Staceyburgh
user_12,45,North Samuelfort
user_13,20,East David
user_14,19,Timothyton
user_15,23,Edwardland
user_16,31,New Jacob
user_17,32,Flynnhaven
user_18,50,Littlebury
user_19,56,Port Jonathanmouth
user_20,19,Roseburgh
user_21,53,South Jason
user_22,30,Sarahshire
user_23,59,East Georgefort
user_24,52,Lake Kerri
user_25,44,Lisaton
user_26,32,Lake Ryan
user_27,46,East Jennifer
user_28,55,Phelpsburgh
user_29,35,North Daniel
user_30,18,West Stephanie
user_31,28,Lake Jamesstad
user_32,45,Gabrieltown
user_33,39,Zavalastad
user_34,35,North Kimberly
user_35,27,North Dawnburgh
user_36,31,Turnerburgh
user_37,39,Andrewsside
user_38,24,West Frank
user_39,23,Murphyside
user_40,42,Port Jefferybury
user_41,24,West Haileyborough
user_42,40,New Mikayla
user_43,40,Hunterfurt
user_44,56,Ricetown
user_45,34,Kimberlyshire
user_46,20,Alexanderfurt
user_47,47,Mcfarlandbury
user_48,52,New Allenchester
user_49,25,Whitetown
user_50,42,Hallshire
user_51,23,Hickmanfort
user_52,53,Kevinberg
user_53,36,North Cynthiamouth
user_54,58,Whitneytown
user_55,57,Troybury
user_56,41,Brownburgh
user_57,54,East Coreyport
user_58,30,Kevinland
user_59,22,Lisamouth
user_60,20,Lake Michael
user_61,60,Robinsonside
user_62,32,Hodgeview
user_63,36,West Jean
user_64,23,Matthewsville
user_65,32,New Stephanieport
user_66,24,East John
user_67,42,Murrayshire
user_68,35,Nealshire
user_69,47,Lewisburgh
user_70,58,Lake Erikland
user_71,41,North Nicoleborough
user_72,28,West Josephhaven
user_73,41,West Paula
user_74,40,Anthonyborough
user_75,31,Nelsonfurt
user_76,60,West Nicole
user_77,35,New Davidmouth
user_78,59,East Marychester
user_79,22,North Teresa
user_80,56,Allenfurt
user_81,58,Rebeccashire
user_82,28,Jacobton
user_83,52,East Sherry
user_84,33,Butlermouth
user_85,28,Port Christopherburgh
user_86,47,Smithfurt
user_87,42,South Brian
user_88,35,Clarkfort
user_89,58,Lake Cory
user_90,53,South Wanda
user_91,32,Rodriguezstad
user_92,38,East Tiffany
user_93,21,Jonathantown
user_94,32,South Mark
user_95,20,West Aliceberg
user_96,38,Webbhaven
user_97,43,Rogersview
user_98,35,Karltown
user_99,22,Michaelville
user_100,31,North Michael
